,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,162,162,162,162,162,227,163,456,516,300,406,145,333,171,409,145,610,644,166
1,151,,0,0,0,0,242,58,493,477,337,443,189,348,29,366,346,647,682,192
2,151,0,,0,0,0,242,58,493,477,337,443,189,348,29,366,346,647,682,192
3,151,0,0,,0,0,242,58,493,477,337,443,189,348,29,366,346,647,682,192
4,151,0,0,0,,0,242,58,493,477,337,443,189,348,29,366,346,647,682,192
5,151,0,0,0,0,,242,58,493,477,337,443,189,348,29,366,346,647,682,192
6,226,251,251,251,251,251,,301,568,600,413,519,372,444,260,489,363,539,581,208
7,150,57,57,57,57,57,242,,493,486,337,443,188,347,66,375,345,647,681,179
8,424,473,473,473,473,473,538,474,,615,452,518,369,229,482,614,337,299,334,477
9,525,548,548,548,548,548,665,562,637,,431,393,608,662,557,268,591,778,812,585
10,291,341,341,341,341,341,406,341,454,326,,284,368,478,349,341,351,594,629,345
11,374,423,423,423,423,423,488,423,480,468,273,,450,504,432,483,434,620,655,427
12,142,197,197,197,197,197,385,197,405,627,386,492,,237,206,520,79,433,468,201
13,443,492,492,492,492,492,439,493,201,605,442,508,219,,501,621,131,241,275,497
14,156,29,29,29,29,29,247,63,498,482,342,448,194,352,,371,351,652,686,196
15,382,405,405,405,405,405,522,419,665,242,459,420,526,689,413,,510,805,840,506
16,140,357,357,357,357,357,369,357,383,606,365,471,72,135,366,498,,331,366,361
17,615,552,552,552,552,552,543,553,300,749,586,652,413,224,561,805,326,,115,529
18,663,600,600,600,600,600,599,601,349,798,634,700,461,272,609,854,374,124,,577
19,162,197,197,197,197,197,206,180,504,593,348,455,200,332,206,486,357,529,563,
